"data_type","data_class","data_subclass","examples","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_class","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"number","quantity","measurement","72.5 ;; 98.6 ;; -4.2","{{ [range:-Inf,Inf][dec:.n] }}","{{ none }}","72.5 ;; 98.6 ;; -4.2","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","unit-specific (kg;;m;;C;;L)","A measured value on a unit scale.","A continuous measurement; unit kept in dd_data_unit.","unit declared ;; plausible range ;; precision","double","no"
"number","quantity","count","0 ;; 1 ;; 42.00","{{ [range:0,Inf][dec:.0] }}","{{ as_integer }}","{{ as_integer }} 0 ;; 1 ;; 42","{{ as_integer }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","","A count of things.","A non-negative whole tally. Range [0,Inf] with .0 precision (integer).","whole number ;; >= 0","integer","no"
"number","quantity","rate","12.4 ;; 0.03","{{ [range:0,Inf][dec:.n] }}","{{ none }}","12.4 ;; 0.03","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","per capita;;per 1,000;;per year","An amount per unit of exposure or time.","A quantity normalized by a denominator or period.","denominator & period declared ;; nonnegative where applicable","double","no"
"number","quantity","ratio","1.5 ;; 0.75","{{ [range:0,Inf][dec:.n] }}","{{ none }}","1.5 ;; 0.75","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","numerator/denominator","A ratio of two quantities.","Numerator over denominator; denominator nonzero.","denominator nonzero ;; parsing convention declared","double","no"
"number","quantity","duration","3.5 ;; 120","{{ [range:0,Inf][dec:.n] }}","{{ none }}","3.5 ;; 120","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","seconds;;minutes;;hours;;days;;years","An elapsed amount of time as a number.","A length of time as a numeric magnitude; unit in dd_data_unit.","unit declared ;; nonnegative where applicable","double","no"
"number","quantity","score","85 ;; 4.5","{{ [range:0,Inf][dec:.n] }}","{{ none }}","85 ;; 4.5","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","scale points","A score on a defined scale.","Points on an instrument or test.","allowed range ;; permitted increments ;; scale direction","double","no"
"number","quantity","index","100 ;; 118.2","{{ [range:-Inf,Inf][dec:.n] }}","{{ none }}","100 ;; 118.2","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","index-specific scale","A constructed index relative to a base.","A composite indicator with a documented base period.","base-period & directionality documented ;; expected range","double","no"
"number","quantity","rank","1 ;; 2.5 ;; 17","{{ [range:1,Inf][dec:.0] }}","{{ as_rank }}","{{ as_rank }} 1 ;; 2 ;; 17","{{ as_integer }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","rank position","An ordinal rank position.","Integer position within an ordering.","positive integer ;; bounded by group size","integer","no"
"number","currency","balance","2300.00 ;; 1,234 ;; -45.10","{{ [range:-Inf,Inf][dec:.2] }}","{{ as_currency }}","{{ as_currency }} 2300.00 ;; 1234.00 ;; -45.10","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.2] }}","USD","A signed account balance.","A monetary balance that may be negative.","sign allowed ;; accounting reconciliation","double","no"
"number","currency","usd","$-45 ;; $2300.00 ;; 17,298$","{{ [strip:$,][range:-Inf,Inf][dec:.2] }}","{{ as_usd }}","{{ as_usd }} -45.00 ;; 2300.00 ;; 17298.00","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.2] }}","USD","A US-dollar amount.","Dollar money; symbol and grouping stripped to a number.","sign allowed ;; accounting reconciliation","double","no"
